region,sector,price_type,year,value_million_thb
Bangkok & Vicinities,Wholesale and retail trade and repair of motor vehicles and motorcycle,current_market_prices,2023,1752819.947
Whole Kingdom,Wholesale and retail trade and repair of motor vehicles and motorcycle,current_market_prices,2023,2833934.0
Northeastern,Transportation and storage,current_market_prices,2023,49790.611
Northern,Transportation and storage,current_market_prices,2023,36614.133
Southern,Transportation and storage,current_market_prices,2023,81450.99
Eastern,Transportation and storage,current_market_prices,2023,132174.032
Western,Transportation and storage,current_market_prices,2023,22657.448
Central,Transportation and storage,current_market_prices,2023,35165.094
Bangkok & Vicinities,Transportation and storage,current_market_prices,2023,541434.693
Whole Kingdom,Transportation and storage,current_market_prices,2023,899287.0
Northeastern,Accommodation and food service activities,current_market_prices,2023,21816.08
Northern,Accommodation and food service activities,current_market_prices,2023,33840.75
Southern,Accommodation and food service activities,current_market_prices,2023,135818.129
Eastern,Accommodation and food service activities,current_market_prices,2023,91607.049
Western,Accommodation and food service activities,current_market_prices,2023,26380.372
Central,Accommodation and food service activities,current_market_prices,2023,6761.784
Bangkok & Vicinities,Accommodation and food service activities,current_market_prices,2023,642534.837
Whole Kingdom,Accommodation and food service activities,current_market_prices,2023,958759.0
Northeastern,Information and communication,current_market_prices,2023,13240.926
Northern,Information and communication,current_market_prices,2023,12754.515
Southern,Information and communication,current_market_prices,2023,13911.632
Eastern,Information and communication,current_market_prices,2023,13213.12
Western,Information and communication,current_market_prices,2023,4434.812
Central,Information and communication,current_market_prices,2023,4005.991
Bangkok & Vicinities,Information and communication,current_market_prices,2023,444634.004
Whole Kingdom,Information and communication,current_market_prices,2023,506195.0
Northeastern,Financial and insurance activities,current_market_prices,2023,152169.804
Northern,Financial and insurance activities,current_market_prices,2023,105278.514
Southern,Financial and insurance activities,current_market_prices,2023,97149.207
Eastern,Financial and insurance activities,current_market_prices,2023,96404.185
Western,Financial and insurance activities,current_market_prices,2023,35670.614
Central,Financial and insurance activities,current_market_prices,2023,33097.21
Bangkok & Vicinities,Financial and insurance activities,current_market_prices,2023,1073119.465
Whole Kingdom,Financial and insurance activities,current_market_prices,2023,1592889.0
Northeastern,Real estate activities,current_market_prices,2023,78093.224
Northern,Real estate activities,current_market_prices,2023,54313.746
Southern,Real estate activities,current_market_prices,2023,50488.801
Eastern,Real estate activities,current_market_prices,2023,47303.808
Western,Real estate activities,current_market_prices,2023,20764.263
Central,Real estate activities,current_market_prices,2023,17889.015
Bangkok & Vicinities,Real estate activities,current_market_prices,2023,189609.144
Whole Kingdom,Real estate activities,current_market_prices,2023,458462.0
Northeastern,"Professional, scientific and technical activities",current_market_prices,2023,1381.037
Northern,"Professional, scientific and technical activities",current_market_prices,2023,2374.441
Southern,"Professional, scientific and technical activities",current_market_prices,2023,2923.789
Eastern,"Professional, scientific and technical activities",current_market_prices,2023,8413.713
Western,"Professional, scientific and technical activities",current_market_prices,2023,669.864
Central,"Professional, scientific and technical activities",current_market_prices,2023,11188.002
Bangkok & Vicinities,"Professional, scientific and technical activities",current_market_prices,2023,279992.155
Whole Kingdom,"Professional, scientific and technical activities",current_market_prices,2023,306943.0
Northeastern,Administrative and support service activities,current_market_prices,2023,5042.632
Northern,Administrative and support service activities,current_market_prices,2023,5780.624
Southern,Administrative and support service activities,current_market_prices,2023,11096.415
Eastern,Administrative and support service activities,current_market_prices,2023,21093.924
Western,Administrative and support service activities,current_market_prices,2023,3683.811
Central,Administrative and support service activities,current_market_prices,2023,4505.71
Bangkok & Vicinities,Administrative and support service activities,current_market_prices,2023,187895.884
Whole Kingdom,Administrative and support service activities,current_market_prices,2023,239099.0
Northeastern,Public administration and defence; compulsory social security,current_market_prices,2023,90753.367
Northern,Public administration and defence; compulsory social security,current_market_prices,2023,74423.054
Southern,Public administration and defence; compulsory social security,current_market_prices,2023,82401.22
Eastern,Public administration and defence; compulsory social security,current_market_prices,2023,79313.969
Western,Public administration and defence; compulsory social security,current_market_prices,2023,34076.929
Central,Public administration and defence; compulsory social security,current_market_prices,2023,40023.426
Bangkok & Vicinities,Public administration and defence; compulsory social security,current_market_prices,2023,703590.036
Whole Kingdom,Public administration and defence; compulsory social security,current_market_prices,2023,1104582.0
Northeastern,Education,current_market_prices,2023,227511.666
Northern,Education,current_market_prices,2023,125967.558
Southern,Education,current_market_prices,2023,98486.945
Eastern,Education,current_market_prices,2023,43233.259
Western,Education,current_market_prices,2023,32302.037
Central,Education,current_market_prices,2023,24259.69
Bangkok & Vicinities,Education,current_market_prices,2023,205568.845
Whole Kingdom,Education,current_market_prices,2023,757330.0
Northeastern,Human health and social work activities,current_market_prices,2023,77114.935
Northern,Human health and social work activities,current_market_prices,2023,60260.085
Southern,Human health and social work activities,current_market_prices,2023,49958.003
Eastern,Human health and social work activities,current_market_prices,2023,36459.669
Western,Human health and social work activities,current_market_prices,2023,18172.244
Central,Human health and social work activities,current_market_prices,2023,16999.909
Bangkok & Vicinities,Human health and social work activities,current_market_prices,2023,213907.156
Whole Kingdom,Human health and social work activities,current_market_prices,2023,472872.0
Northeastern,"Arts, entertainment and recreation",current_market_prices,2023,8997.324
Northern,"Arts, entertainment and recreation",current_market_prices,2023,6732.482
Southern,"Arts, entertainment and recreation",current_market_prices,2023,3346.586
Eastern,"Arts, entertainment and recreation",current_market_prices,2023,3261.239
Western,"Arts, entertainment and recreation",current_market_prices,2023,3130.382
Central,"Arts, entertainment and recreation",current_market_prices,2023,2120.702
Bangkok & Vicinities,"Arts, entertainment and recreation",current_market_prices,2023,90660.284
Whole Kingdom,"Arts, entertainment and recreation",current_market_prices,2023,118249.0
Northeastern,Other service activities,current_market_prices,2023,16421.036
Northern,Other service activities,current_market_prices,2023,12695.252
Southern,Other service activities,current_market_prices,2023,9939.024
Eastern,Other service activities,current_market_prices,2023,14936.328
Western,Other service activities,current_market_prices,2023,3603.124
Central,Other service activities,current_market_prices,2023,5325.653
Bangkok & Vicinities,Other service activities,current_market_prices,2023,184204.582
Whole Kingdom,Other service activities,current_market_prices,2023,247125.0
Northeastern,GRP and GDP,current_market_prices,2023,1808413.236
Northern,GRP and GDP,current_market_prices,2023,1390863.244
Southern,GRP and GDP,current_market_prices,2023,1437591.045
Eastern,GRP and GDP,current_market_prices,2023,3229061.875
Western,GRP and GDP,current_market_prices,2023,636869.194
Central,GRP and GDP,current_market_prices,2023,881689.29
Bangkok & Vicinities,GRP and GDP,current_market_prices,2023,8570179.115
Whole Kingdom,GRP and GDP,current_market_prices,2023,17954666.999
Northeastern,GRP and GDP Per capita (Baht),current_market_prices,2023,99270.742
Northern,GRP and GDP Per capita (Baht),current_market_prices,2023,124552.15
Southern,GRP and GDP Per capita (Baht),current_market_prices,2023,146831.657
Eastern,GRP and GDP Per capita (Baht),current_market_prices,2023,496846.53
Western,GRP and GDP Per capita (Baht),current_market_prices,2023,174207.268
Central,GRP and GDP Per capita (Baht),current_market_prices,2023,278249.682
Bangkok & Vicinities,GRP and GDP Per capita (Baht),current_market_prices,2023,488533.554
Whole Kingdom,GRP and GDP Per capita (Baht),current_market_prices,2023,256345.369
Northeastern,"Population (1,000 persons)",current_market_prices,2023,18216.981
